MSIC_5D,DESCRIPTION
C10407,"Pembaikan dan penyelenggaraan penyinaran, perubatan elektro dan kelengkapan electrotherapeutic"
C10501,Pembaikan bagi peralatan optikalal dan alatan fotografi
C10509,Pembaikan dan penyelenggaraan peralatan elektrik kecuali penggunaan domestik
C10611,Pembaikan dan penyelenggaraan kelengkapan pengangkutan kecuali motosikal dan basikal-basikal
C10612,Pembaikan dan penyelenggaraan peralatan lain t.t.t.l.
C10613,Pemasangan bagi perindustrian mesin dan kelengkapan
D35101,Operasi kemudahan penjanaan yang menghasilkan tenaga elektrik
D35102,"Operasi penghantaran, pengagihan dan penjualan elektrik"
D35201,"Pembuatan bahan api berunsur gas yang mempunyai spesifikasi nilai calorific, mengikut  penulenan, pencampuran dan proses lain dari jenis gas yang lain(2) termasuk gas asli"
D35203,"Pengangkutan, pengagihan dan bekalan semua jenis bahan api berunsur gas melalui sistem saluran utama"
D35301,Penjualan gas kepada pengguna melalui saluran utama
D35303,"Pengeluaran, pengumpulan dan pengagihan wap dan air panas untuk pemanasan, tenaga dan tujuan lain"
D35202,"Pengeluaran dan pengagih udara dingin, air yang disejukkan bagi tujuan pendinginan"
D35302,"Pengeluaran ais, termasuk ais untuk tujuan makanan dan bukan makanan (cth. pendinginan)"
E38303,Penulenan dan pengagihan air untuk tujuan bekalan air (2)
E38304,Penyahmasinan air laut atau bawah tanah untuk menghasilkan air sebagai kepentingan produk utama(3)
E38309,Pembetungan dan aktiviti-aktiviti yang seumpamanya(1)
E39000,Pengumpulan sisa pepejal yang tidak berbahaya (cth. sampah) di kawasan setempat
E36001,Pengumpulan bahan kitar semula
E37000,Pengumpulan sampah dalam tong sampah di kawasan awam
E38111,Pengumpulan sisa pembinaan dan runtuhan
E38112,Operasi stesen pemindahan pembuangan sisa tidak berbahaya
E38114,Pengumpulan sisa berbahaya(3)
E38115,Operasi stesen pemindahan pembuangan bagi sisa berbahaya
E38121,Rawatan dan pelupusan sisa tidak berbahaya(3)
E38210,Rawatan dan pelupusan sisa berbahaya(2)
E38220,Meremukkan secara mekanikal sisa logam(1
E38301,"Meleraikan peralatan automobil, komputer, televisyen dan peralatan lain untuk pemulihan bahan(2)"
E36002,Memulih guna getah seperti tayar terpakai untuk menghasilkan bahan mentah sekunder(3)
E38113,Penggunaan semula produk getah
E38122,Pemulihan bahan t.t.t.l.(4)
E38302,Aktiviti pemulihan dan lain-lain perkhidmatan pengurusan sisa(2)
F42104,Bangunan kediaman(2)
F42105,Bangunan bukan kediaman(3)
F42106,Pemasangan dan pendirian bangunan pasang siap di tapak pembinaan
F42202,Pembinaan bangunan t.t.t.l.(4)
F42203,"Pembinaan laluan kenderaan bermotor, lorong, jalan, laluan pejalan kaki dan kenderaan lain"
F42204,"Kerja penurapan jalan, jalan raya, lebuhraya, jambatan atau terowong(2)"
F42205,Pembinaan jambatan termasuk untuk lebuhraya bertingkat
F42206,Pembinaan terowong
F42207,Pembinaan landasan kereta api dan laluan bawah tanah
F42209,Pembinaan landasan lapangan terbang
F42901,Pembinaan jalan raya dan landasan kereta api t.t.t.l
F42902,"Saluran paip jarak jauh, talian komunikasi dan kuasa"
F42903,"Saluran paip dalam bandar, talian komunikasi dan kuasa dalam bandar; kerja-kerja berkaitan dalam bandar"
F42904,Pembinaan punca dan saluran air
F42905,Loji takungan
F42909,Pembinaan sistem pengairan (terusan)
F43110,Pembinaan sistem pembetungan (termasuk pembaikan) dan loji pelupusan sisa kumbahan
