MSIC_5D,DESCRIPTION
R90001,"Activities of sculptors, painters, cartoonists, engravers, etchers"
R90002,"Activities of individual writers, for all subjects"
R90003,Activities of independent journalists
R90005,Restoring of works of art such as painting
R90006,"Activities of producers or entrepreneurs of arts live events, with or without facilities"
R90007,"Creative, arts and entertainment activities n.e.c."
R90009,Documentation and information activities of libraries of all kinds
R91012,Stock photo libraries and services
R91021,Operation of museums of all kinds
R91022,Operation of historical sites and buildings
R91032,Operation of botanical and zoological gardens
R92000,"Operation of nature reserves, including wildlife preservation"
R93112,Gambling and betting activities
R93113,"Football, hockey, cricket, baseball, badminton, futsal, paintball"
R93114,Racetracks for auto
R93115,Equestrian clubs 
R93116,"Swimming pools and stadiums, ice-skating arenas"
R93117,Track and field stadium
R93118,Golf courses
R93120,Bowling centre
R93191,Fitness centres
R93192,Organization and operation of outdoor or indoor sports events for professionals or amateurs by organizations with own facilities
R93210,"The operation of sports clubs such as football club, bowling club, swimming club"
R93291,"Activities of producers or promoters of sports events, with or without facilities"
R93292,Activities of sports leagues and regulating bodies
R93293,Activities of related to promotion of sporting events
R93294,Other sports activities n.e.c.
R93295,Activities of amusement parks and theme parks
R93296,Activities of recreation parks and beaches
R93297,Operation of recreational transport facilities (e.g. marinas)
R93299,Renting of leisure and pleasure equipment as an integral part of recreational facilities
R90004,Operation of fairs and shows of a recreational nature
R91011,Operation of discotheques and dance floors
R91031,"Activities of producers or entrepreneurs of live events other than arts or sports events, with or without facilities"
R93111,Cyber Café/Internet Centre
R93119,Any other amusement and recreation activities n.e.c.
S95125,Activities of business and employers membership organizations 
S95126,Activities of professional membership organizations
S95211,Activities of trade unions
S95212,Activities of religious organizations
S95213,Activities of political organizations
S95221,Activities of other membership organizations n.e.c.
S95222,Repair of electronic equipment
S95240,Repair and maintenance of computer terminals
S95291,Repair and maintenance of hand-held computers (PDA's)
S95292,Repair and maintenance of cordless telephones
S95293,Repair and maintenance of cellular phones
S95294,Repair and maintenance of carrier equipment modems
S95295,Repair and maintenance of fax machines
S95299,"Repair and maintenance of communications transmission equipment (e.g. routers, bridges, modems)"
S96011,Repair and maintenance of two-way radios
S96012,Repair and maintenance of commercial TV and video cameras
S96013,"Repair and maintenance of television, radio receivers"
S96014,Repair and maintenance of (VCR/DVD/VCD)
S96020,Repair and maintenance of CD players
S96031,Repair and maintenance of household-type video cameras
S96032,Repair and servicing of household appliances
S96033,Repair and servicing of home and garden equipment
S96034,Repair of footwear and leather goods
S96035,Repair of furniture and home furnishings
S96091,Repair of bicycles
S96092,Repair and alteration of clothing
S96093,Repair and alteration of jewellery
S96094,"Repair of watches, clocks and their parts"
S96095,Repair of sporting goods
S96096,Repair of musical instruments
S96099,Repair of other personal and household goods n.e.c.
S94110,"Laundering and dry-cleaning, pressing"
S94120,"Carpet and rug shampooing, and drapery and curtain cleaning, whether on clients' premises or not"
S94200,"Provision of linens, work uniforms and related items by laundries"
S94910,Diaper supply services
S94920,Hairdressing and other beauty treatment
S94990,Preparing the dead for burial or cremation and embalming and morticians' services
S95111,Providing burial or cremation services
S95112,Rental of equipped space in funeral parlours
S95121,Rental or sale of graves
S95122,Maintenance of graves and mausoleums
S95123,"Activities of sauna, steam baths, massage salons"
S95113,Astrological and spiritualists' activities
S95124,"Social activities such as escort services, dating services, services of marriage bureaux"
S95127,Pet care services
S95214,Genealogical organizations
S95230,"Shoe shiners, porters, valet car parkers"
S95296,Concession operation of coin-operated personal service machines
S96097,Other service activities n.e.c.
T97000,Activities of households as employers of domestic personnel
T98200,Undifferentiated goods-producing activities of private households for own use
T98100,Undifferentiated service-producing activities of private households for own use
U99000,Activities of extraterritorial organizations and bodies
